Security,N,Nfield,meanOpen,meanClose,meanHigh,meanLow,meanVolumn
HST UN EquityFieldData.csv,6831,5,13.41534185,13.41923241,13.57936229,13.24094317,1370678.312
HSY UN EquityFieldData.csv,8066,5,39.45561298,39.48370484,39.77824446,39.15173862,571156.272
HUM UN EquityFieldData.csv,8064,5,46.55774628,46.58276252,47.12604204,46.01275893,652145.2421
IBM UN EquityFieldData.csv,8065,5,87.59900257,87.63987204,88.41902484,86.84497231,5062851.361
ICE UN EquityFieldData.csv,3051,5,32.6294238,32.63462799,33.02000066,32.2269551,2084486.392
IDXX UW EquityFieldData.csv,6687,1,-99,-99,28.05900096,-99,-99
IFF UN EquityFieldData.csv,8066,5,47.58815125,47.61608604,47.99872502,47.17118733,243975.9119
ILMN UW EquityFieldData.csv,4384,5,60.19450411,60.2375771,61.09131113,59.28257482,546630.4754
INCY UW EquityFieldData.csv,5821,5,26.86219218,26.84055679,27.49961386,26.17287114,582494.2952
INFO UW EquityFieldData.csv,891,5,33.41090909,33.4458642,33.71107183,33.1427385,411833.7003
INTC UW EquityFieldData.csv,8067,5,18.56524896,18.56233568,18.82504225,18.30420569,44222413.66
INTU UW EquityFieldData.csv,6249,5,37.37435307,37.40145519,37.81773736,36.94276408,2884328.316
IP UN EquityFieldData.csv,8065,5,35.06063466,35.04517464,35.45606112,34.62887095,1394961.41
IPG UN EquityFieldData.csv,8065,5,14.91142558,14.91919761,15.09717764,14.71756537,1112016.314
IPGP UW EquityFieldData.csv,2781,5,58.02774721,58.03231212,58.82209097,57.18919094,123443.6962
IQV UN EquityFieldData.csv,1171,5,66.79369769,66.82625107,67.40350128,66.17268745,252235.2297
IR UN EquityFieldData.csv,8065,5,24.88279782,24.89047343,25.15627076,24.60988931,1091784.975
IRM UN EquityFieldData.csv,4703,5,22.32118688,22.33219411,22.54637278,22.0894505,577803.1442
ISRG UW EquityFieldData.csv,4417,5,95.58897034,95.64133741,96.71027219,94.50813179,732918.2744
IT UN EquityFieldData.csv,4856,5,36.12020428,36.15415527,36.50383979,35.75373167,229090.5181
ITW UN EquityFieldData.csv,8066,5,38.44019818,38.45911349,38.78375733,38.09897979,965613.905
IVZ UN EquityFieldData.csv,5619,5,22.52094946,22.53446254,22.79411274,22.24686875,528611.0723
JBHT UW EquityFieldData.csv,8068,5,24.16280196,24.17808987,24.44176823,23.889772,635838.519
JCI UN EquityFieldData.csv,8066,5,17.96714231,17.97092693,18.16968533,17.75617333,1071674.047
JEC UN EquityFieldData.csv,7065,5,27.44847012,27.45393086,27.79660763,27.08607778,394149.1224
JNJ UN EquityFieldData.csv,8066,5,47.69280102,47.70781589,48.04103075,47.34337565,4767591.217
JNPR UN EquityFieldData.csv,2057,5,25.12246962,25.14221196,25.43682839,24.83415119,1592004.015
JPM UN EquityFieldData.csv,8066,5,34.85870426,34.86248703,35.27273371,34.43709876,5427069.491
JWN UN EquityFieldData.csv,4671,5,36.22297386,36.23681546,36.70210617,35.75684723,1121060.255
K UN EquityFieldData.csv,8065,5,39.6201527,39.64306552,39.94984878,39.2938718,684591.2723
KEY UN EquityFieldData.csv,6381,5,20.2381664,20.24007955,20.46842644,19.99871283,1771962.335
KHC UW EquityFieldData.csv,629,5,82.36771065,82.35786963,82.97446741,81.66858506,1179044.203
KIM UN EquityFieldData.csv,6575,5,18.76766522,18.77083203,18.95800312,18.56018794,720993.8703
KLAC UW EquityFieldData.csv,8068,5,33.61531039,33.61591625,34.18081904,33.03909923,2359226.538
KMB UN EquityFieldData.csv,8065,5,53.60318011,53.62910484,54.03823866,53.18727921,942961.7252
KMI UN EquityFieldData.csv,1733,5,30.0819446,30.05257357,30.35220716,29.74971898,2404387.699
KMX UN EquityFieldData.csv,3849,5,31.44852429,31.45974279,31.8419761,31.05246558,1054225.89
KO UN EquityFieldData.csv,8065,5,23.24523216,23.25962839,23.43845769,23.05657006,6998724.798
KORS UN EquityFieldData.csv,1520,5,56.34157237,56.30473026,57.04817961,55.55330461,711369.425
KR UN EquityFieldData.csv,8065,5,10.83238634,10.83821106,10.95429405,10.71508919,3494718.707
KSS UN EquityFieldData.csv,6453,5,40.87240375,40.87641737,41.41698923,40.31499523,1446227.256
KSU UN EquityFieldData.csv,8066,5,27.66269769,27.67381757,28.00055573,27.32312398,275116.2873
L UN EquityFieldData.csv,8066,5,22.82673125,22.82853613,23.02049399,22.62749531,1236866.899
LB UN EquityFieldData.csv,8065,5,24.1495721,24.16062211,24.45992584,23.84106717,1565587.209
LEG UN EquityFieldData.csv,8065,5,19.6467096,19.65120042,19.84113939,19.4404303,369857.1693
LEN UN EquityFieldData.csv,8052,5,20.11873048,20.10851883,20.41018928,19.8057435,910417.4082
LH UN EquityFieldData.csv,5709,5,61.18876458,61.21879909,61.7483279,60.63234016,458829.5043
LKQ UW EquityFieldData.csv,3586,5,15.78326994,15.78682259,15.95856339,15.59383031,698132.9144
LLL UN EquityFieldData.csv,4938,5,76.82340231,76.84653643,77.52310557,76.12599154,462264.1049
LLY UN EquityFieldData.csv,8066,5,45.00708759,45.02675705,45.48616137,44.53655576,2238217.083
LMT UN EquityFieldData.csv,5740,5,91.85236098,91.90498293,92.64890679,91.0968669,1104941.178
LNC UN EquityFieldData.csv,8066,5,33.5713742,33.57077612,33.96128606,33.16829374,656895.9308
LNT UN EquityFieldData.csv,7496,5,17.95772009,17.96800977,18.09395384,17.8139424,331839.8883
LOW UN EquityFieldData.csv,8066,5,21.15694259,21.16556929,21.39379487,20.93082405,4251279.682
LRCX UW EquityFieldData.csv,8068,5,30.0674904,30.06407952,30.55242772,29.55381305,1615691.438
LUK UN EquityFieldData.csv,7993,5,14.76124774,14.76230469,14.92719477,14.58694235,318755.8718
LUV UN EquityFieldData.csv,8064,5,13.04552018,13.04973403,13.21978721,12.8717405,2466119.416
LYB UN EquityFieldData.csv,1816,5,71.14835352,71.16463656,71.96003029,70.32428084,831879.6134
M UN EquityFieldData.csv,6497,5,26.06154936,26.06029922,26.41030563,25.70807523,2264484.331
MA UN EquityFieldData.csv,2921,5,52.46517665,52.48237179,52.94914789,51.98623519,4748639.593
MAA UN EquityFieldData.csv,6024,5,46.97338106,46.98987716,47.39196937,46.53076693,99065.05362
MAC UN EquityFieldData.csv,5996,5,43.94878634,43.96337403,44.38957572,43.49155702,288519.5715
MAR UW EquityFieldData.csv,1057,5,76.38593661,76.46167455,77.04770009,75.77815989,895048.6102
MAS UN EquityFieldData.csv,8065,5,17.92528394,17.92168291,18.14466327,17.68994901,1136062.928
MAT UW EquityFieldData.csv,2077,5,29.57176697,29.56642513,29.84959557,29.27145643,1312421.106
MCD UN EquityFieldData.csv,8064,5,43.62771491,43.64813777,43.9850785,43.28923165,3126336.562
MCHP UW EquityFieldData.csv,6244,5,27.94522238,27.93970822,28.34917612,27.52113026,1792313.628
MCK UN EquityFieldData.csv,5790,5,73.04805233,73.06655147,73.77125216,72.31058549,840436.347
MCO UN EquityFieldData.csv,4912,5,47.57560745,47.60645566,48.07587852,47.09878583,852348.9575
MDLZ UW EquityFieldData.csv,1388,5,37.58749222,37.59021671,37.87955036,37.29287378,2889707.549
MDT UN EquityFieldData.csv,8066,5,33.76376191,33.77621987,34.09298258,33.43451928,2682745.372
MET UN EquityFieldData.csv,4463,5,37.5442557,37.53845106,37.97701723,37.07379166,2001139.829
MGM UN EquityFieldData.csv,7065,5,18.35078542,18.34180753,18.62415527,18.05586933,1339098.551
MHK UN EquityFieldData.csv,5043,5,86.37276224,86.37689371,87.30712988,85.40990918,272718.4004
MKC UN EquityFieldData.csv,4682,5,46.38571551,46.40774464,46.72127674,46.05043524,298115.9543
MLM UN EquityFieldData.csv,6007,5,78.82835825,78.82918945,79.80834993,77.81495838,189476.5635
MMC UN EquityFieldData.csv,8066,5,30.53468897,30.55778013,30.8377092,30.25832203,1131737.708
MMM UN EquityFieldData.csv,8066,5,65.6221877,65.64560712,66.13794669,65.10795586,1767778.699
MNST UW EquityFieldData.csv,7947,3,-99,-99,8.234351416,8.037358842,3944586.469
MO UN EquityFieldData.csv,8065,5,17.51368412,17.51928988,17.65425286,17.37412228,5361690.494
MON UN EquityFieldData.csv,4327,5,66.85235637,66.86138387,67.60441437,66.09445135,1636061.681
MOS UN EquityFieldData.csv,3320,5,44.87401205,44.83488855,45.62991717,44.02797018,1210112.715
MPC UN EquityFieldData.csv,1642,5,39.75402862,39.76803593,40.3054729,39.20802832,1515567.284
MRK UN EquityFieldData.csv,8066,5,37.7703729,37.78517954,38.15481004,37.38841397,4727007.376
